2026-06-02 14:03:37.031 [DEBUG] MIDI fader physical ch 3, logical ch 3: 13.21% raw 2164; touched=True
2026-06-02 14:03:37.036 [DEBUG] MIDI received: status E2, data1 3C, data2 11, channel 3, command E0
2026-06-02 14:03:37.036 [DEBUG] MIDI fader physical ch 3, logical ch 3: 13.65% raw 2236; touched=True
2026-06-02 14:03:37.042 [DEBUG] MIDI received: status E2, data1 68, data2 11, channel 3, command E0
2026-06-02 14:03:37.042 [DEBUG] MIDI fader physical ch 3, logical ch 3: 13.92% raw 2280; touched=True
2026-06-02 14:03:37.047 [DEBUG] MIDI received: status E2, data1 1C, data2 12, channel 3, command E0
2026-06-02 14:03:37.047 [DEBUG] MIDI fader physical ch 3, logical ch 3: 14.23% raw 2332; touched=True
2026-06-02 14:03:37.052 [DEBUG] MIDI received: status E2, data1 64, data2 12, channel 3, command E0
2026-06-02 14:03:37.052 [DEBUG] MIDI fader physical ch 3, logical ch 3: 14.67% raw 2404; touched=True
2026-06-02 14:03:37.058 [DEBUG] MIDI received: status E2, data1 20, data2 13, channel 3, command E0
2026-06-02 14:03:37.058 [DEBUG] MIDI fader physical ch 3, logical ch 3: 15.04% raw 2464; touched=True
2026-06-02 14:03:37.063 [DEBUG] MIDI received: status E2, data1 58, data2 13, channel 3, command E0
2026-06-02 14:03:37.063 [DEBUG] MIDI fader physical ch 3, logical ch 3: 15.38% raw 2520; touched=True
2026-06-02 14:03:37.068 [DEBUG] MIDI received: status E2, data1 28, data2 14, channel 3, command E0
2026-06-02 14:03:37.068 [DEBUG] MIDI fader physical ch 3, logical ch 3: 15.87% raw 2600; touched=True
2026-06-02 14:03:37.074 [DEBUG] MIDI received: status E2, data1 5C, data2 14, channel 3, command E0
2026-06-02 14:03:37.074 [DEBUG] MIDI fader physical ch 3, logical ch 3: 16.19% raw 2652; touched=True
2026-06-02 14:03:37.079 [DEBUG] MIDI received: status E2, data1 28, data2 15, channel 3, command E0
2026-06-02 14:03:37.079 [DEBUG] MIDI fader physical ch 3, logical ch 3: 16.65% raw 2728; touched=True
2026-06-02 14:03:37.084 [DEBUG] MIDI received: status E2, data1 68, data2 15, channel 3, command E0
2026-06-02 14:03:37.084 [DEBUG] MIDI fader physical ch 3, logical ch 3: 17.04% raw 2792; touched=True
2026-06-02 14:03:37.090 [DEBUG] MIDI received: status E2, data1 30, data2 16, channel 3, command E0
2026-06-02 14:03:37.090 [DEBUG] MIDI fader physical ch 3, logical ch 3: 17.48% raw 2864; touched=True
2026-06-02 14:03:37.095 [DEBUG] MIDI received: status E2, data1 7C, data2 16, channel 3, command E0
