2026-06-01 11:14:48.808 [DEBUG] MIDI fader physical ch 1, logical ch 1: 77.45% raw 12688; touched=True
2026-06-01 11:14:48.814 [DEBUG] MIDI received: status E0, data1 2C, data2 64, channel 1, command E0
2026-06-01 11:14:48.814 [DEBUG] MIDI fader physical ch 1, logical ch 1: 78.4% raw 12844; touched=True
2026-06-01 11:14:48.819 [DEBUG] MIDI received: status E0, data1 44, data2 65, channel 1, command E0
2026-06-01 11:14:48.819 [DEBUG] MIDI fader physical ch 1, logical ch 1: 79.33% raw 12996; touched=True
2026-06-01 11:14:48.824 [DEBUG] MIDI received: status E0, data1 44, data2 66, channel 1, command E0
2026-06-01 11:14:48.824 [DEBUG] MIDI fader physical ch 1, logical ch 1: 80.11% raw 13124; touched=True
2026-06-01 11:14:48.829 [DEBUG] MIDI received: status E0, data1 64, data2 67, channel 1, command E0
2026-06-01 11:14:48.829 [DEBUG] MIDI fader physical ch 1, logical ch 1: 81.08% raw 13284; touched=True
2026-06-01 11:14:48.835 [DEBUG] MIDI received: status E0, data1 00, data2 69, channel 1, command E0
2026-06-01 11:14:48.835 [DEBUG] MIDI fader physical ch 1, logical ch 1: 82.04% raw 13440; touched=True
2026-06-01 11:14:48.840 [DEBUG] MIDI received: status E0, data1 78, data2 69, channel 1, command E0
2026-06-01 11:14:48.840 [DEBUG] MIDI fader physical ch 1, logical ch 1: 82.77% raw 13560; touched=True
2026-06-01 11:14:48.845 [DEBUG] MIDI received: status E0, data1 7C, data2 6A, channel 1, command E0
2026-06-01 11:14:48.845 [DEBUG] MIDI fader physical ch 1, logical ch 1: 83.57% raw 13692; touched=True
2026-06-01 11:14:48.851 [DEBUG] MIDI received: status E0, data1 3C, data2 6B, channel 1, command E0
2026-06-01 11:14:48.851 [DEBUG] MIDI fader physical ch 1, logical ch 1: 83.97% raw 13756; touched=True
2026-06-01 11:14:48.856 [DEBUG] MIDI received: status E0, data1 4C, data2 6C, channel 1, command E0
2026-06-01 11:14:48.856 [DEBUG] MIDI fader physical ch 1, logical ch 1: 84.84% raw 13900; touched=True
2026-06-01 11:14:48.859 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=85
2026-06-01 11:14:48.863 [DEBUG] MIDI received: status E0, data1 74, data2 6C, channel 1, command E0
2026-06-01 11:14:48.863 [DEBUG] MIDI fader physical ch 1, logical ch 1: 85.09% raw 13940; touched=True
2026-06-01 11:14:48.867 [DEBUG] MIDI received: status E0, data1 50, data2 6D, channel 1, command E0
2026-06-01 11:14:48.867 [DEBUG] MIDI fader physical ch 1, logical ch 1: 85.65% raw 14032; touched=True
2026-06-01 11:14:48.872 [DEBUG] MIDI received: status E0, data1 10, data2 6E, channel 1, command E0
2026-06-01 11:14:48.872 [DEBUG] MIDI fader physical ch 1, logical ch 1: 86.04% raw 14096; touched=True
2026-06-01 11:14:48.878 [DEBUG] MIDI received: status E0, data1 40, data2 6E, channel 1, command E0
2026-06-01 11:14:48.878 [DEBUG] MIDI fader physical ch 1, logical ch 1: 86.33% raw 14144; touched=True
2026-06-01 11:14:48.883 [DEBUG] MIDI received: status E0, data1 08, data2 6F, channel 1, command E0
2026-06-01 11:14:48.883 [DEBUG] MIDI fader physical ch 1, logical ch 1: 86.77% raw 14216; touched=True
2026-06-01 11:14:48.888 [DEBUG] MIDI received: status E0, data1 24, data2 6F, channel 1, command E0
2026-06-01 11:14:48.888 [DEBUG] MIDI fader physical ch 1, logical ch 1: 86.94% raw 14244; touched=True
2026-06-01 11:14:48.894 [DEBUG] MIDI received: status E0, data1 58, data2 6F, channel 1, command E0
2026-06-01 11:14:48.894 [DEBUG] MIDI fader physical ch 1, logical ch 1: 87.26% raw 14296; touched=True
2026-06-01 11:14:48.899 [DEBUG] MIDI received: status E0, data1 38, data2 70, channel 1, command E0
2026-06-01 11:14:48.899 [DEBUG] MIDI fader physical ch 1, logical ch 1: 87.85% raw 14392; touched=True
2026-06-01 11:14:48.904 [DEBUG] MIDI received: status E0, data1 50, data2 70, channel 1, command E0
2026-06-01 11:14:48.904 [DEBUG] MIDI fader physical ch 1, logical ch 1: 87.99% raw 14416; touched=True
2026-06-01 11:14:48.910 [DEBUG] MIDI received: status E0, data1 60, data2 70, channel 1, command E0
2026-06-01 11:14:48.910 [DEBUG] MIDI fader physical ch 1, logical ch 1: 88.09% raw 14432; touched=True
2026-06-01 11:14:48.915 [DEBUG] MIDI received: status E0, data1 70, data2 70, channel 1, command E0
2026-06-01 11:14:48.915 [DEBUG] MIDI fader physical ch 1, logical ch 1: 88.19% raw 14448; touched=True
2026-06-01 11:14:48.920 [DEBUG] MIDI received: status E0, data1 18, data2 71, channel 1, command E0
2026-06-01 11:14:48.920 [DEBUG] MIDI fader physical ch 1, logical ch 1: 88.43% raw 14488; touched=True
2026-06-01 11:14:48.930 [DEBUG] MIDI received: status E0, data1 40, data2 71, channel 1, command E0
2026-06-01 11:14:48.930 [DEBUG] MIDI fader physical ch 1, logical ch 1: 88.68% raw 14528; touched=True
2026-06-01 11:14:48.940 [DEBUG] MIDI received: status E0, data1 50, data2 71, channel 1, command E0
2026-06-01 11:14:48.940 [DEBUG] MIDI fader physical ch 1, logical ch 1: 88.77% raw 14544; touched=True
2026-06-01 11:14:48.945 [DEBUG] MIDI received: status E0, data1 54, data2 71, channel 1, command E0
2026-06-01 11:14:48.945 [DEBUG] MIDI fader physical ch 1, logical ch 1: 88.8% raw 14548; touched=True
2026-06-01 11:14:48.948 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=89
2026-06-01 11:14:48.955 [DEBUG] MIDI received: status E0, data1 7C, data2 71, channel 1, command E0
2026-06-01 11:14:48.955 [DEBUG] MIDI fader physical ch 1, logical ch 1: 89.04% raw 14588; touched=True
2026-06-01 11:14:49.008 [DEBUG] MIDI received: status E0, data1 00, data2 72, channel 1, command E0
2026-06-01 11:14:49.008 [DEBUG] MIDI fader physical ch 1, logical ch 1: 89.07% raw 14592; touched=True
2026-06-01 11:14:49.017 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=89
2026-06-01 11:14:49.125 [DEBUG] MIDI received: status E0, data1 04, data2 72, channel 1, command E0
2026-06-01 11:14:49.125 [DEBUG] Ignored duplicate fader ch 1: 89.09% raw 14596; last sent 89.07%
2026-06-01 11:14:49.155 [DEBUG] MIDI received: status E0, data1 14, data2 72, channel 1, command E0
2026-06-01 11:14:49.156 [DEBUG] Ignored duplicate fader ch 1: 89.19% raw 14612; last sent 89.07%
2026-06-01 11:14:49.161 [DEBUG] MIDI received: status E0, data1 1C, data2 72, channel 1, command E0
2026-06-01 11:14:49.161 [DEBUG] Ignored duplicate fader ch 1: 89.24% raw 14620; last sent 89.07%
2026-06-01 11:14:49.170 [DEBUG] MIDI received: status E0, data1 34, data2 72, channel 1, command E0
2026-06-01 11:14:49.170 [DEBUG] MIDI fader physical ch 1, logical ch 1: 89.39% raw 14644; touched=True
2026-06-01 11:14:49.185 [DEBUG] MIDI received: status E0, data1 44, data2 72, channel 1, command E0
2026-06-01 11:14:49.185 [DEBUG] MIDI fader physical ch 1, logical ch 1: 89.48% raw 14660; touched=True
2026-06-01 11:14:49.194 [DEBUG] MIDI received: status E0, data1 58, data2 72, channel 1, command E0
2026-06-01 11:14:49.194 [DEBUG] MIDI fader physical ch 1, logical ch 1: 89.61% raw 14680; touched=True
2026-06-01 11:14:49.208 [DEBUG] MIDI received: status E0, data1 68, data2 72, channel 1, command E0
2026-06-01 11:14:49.208 [DEBUG] MIDI fader physical ch 1, logical ch 1: 89.7% raw 14696; touched=True
2026-06-01 11:14:49.213 [DEBUG] MIDI received: status E0, data1 04, data2 73, channel 1, command E0
2026-06-01 11:14:49.214 [DEBUG] MIDI fader physical ch 1, logical ch 1: 89.87% raw 14724; touched=True
2026-06-01 11:14:49.219 [DEBUG] MIDI received: status E0, data1 0C, data2 73, channel 1, command E0
2026-06-01 11:14:49.219 [DEBUG] MIDI fader physical ch 1, logical ch 1: 89.92% raw 14732; touched=True
2026-06-01 11:14:49.224 [DEBUG] MIDI received: status E0, data1 50, data2 73, channel 1, command E0
2026-06-01 11:14:49.224 [DEBUG] MIDI fader physical ch 1, logical ch 1: 90.34% raw 14800; touched=True
2026-06-01 11:14:49.230 [DEBUG] MIDI received: status E0, data1 60, data2 73, channel 1, command E0
2026-06-01 11:14:49.230 [DEBUG] MIDI fader physical ch 1, logical ch 1: 90.44% raw 14816; touched=True
2026-06-01 11:14:49.235 [DEBUG] MIDI received: status E0, data1 64, data2 73, channel 1, command E0
2026-06-01 11:14:49.235 [DEBUG] MIDI fader physical ch 1, logical ch 1: 90.46% raw 14820; touched=True
2026-06-01 11:14:49.240 [DEBUG] MIDI received: status E0, data1 78, data2 73, channel 1, command E0
2026-06-01 11:14:49.240 [DEBUG] MIDI fader physical ch 1, logical ch 1: 90.58% raw 14840; touched=True
2026-06-01 11:14:49.246 [DEBUG] MIDI received: status E0, data1 2C, data2 74, channel 1, command E0
2026-06-01 11:14:49.246 [DEBUG] MIDI fader physical ch 1, logical ch 1: 90.9% raw 14892; touched=True
2026-06-01 11:14:49.251 [DEBUG] MIDI received: status E0, data1 44, data2 74, channel 1, command E0
2026-06-01 11:14:49.251 [DEBUG] MIDI fader physical ch 1, logical ch 1: 91.05% raw 14916; touched=True
2026-06-01 11:14:49.256 [DEBUG] MIDI received: status E0, data1 5C, data2 74, channel 1, command E0
2026-06-01 11:14:49.256 [DEBUG] MIDI fader physical ch 1, logical ch 1: 91.19% raw 14940; touched=True
2026-06-01 11:14:49.258 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=a53a9359-7624-4bac-9fb4-185d71025606, Value=91
2026-06-01 11:14:49.262 [DEBUG] MIDI received: status E0, data1 3C, data2 75, channel 1, command E0
2026-06-01 11:14:49.262 [DEBUG] MIDI fader physical ch 1, logical ch 1: 91.78% raw 15036; touched=True
2026-06-01 11:14:49.267 [DEBUG] MIDI received: status E0, data1 64, data2 75, channel 1, command E0
2026-06-01 11:14:49.267 [DEBUG] MIDI fader physical ch 1, logical ch 1: 92.02% raw 15076; touched=True
2026-06-01 11:14:49.272 [DEBUG] MIDI received: status E0, data1 18, data2 76, channel 1, command E0
2026-06-01 11:14:49.273 [DEBUG] MIDI fader physical ch 1, logical ch 1: 92.34% raw 15128; touched=True
2026-06-01 11:14:49.278 [DEBUG] MIDI received: status E0, data1 64, data2 76, channel 1, command E0
2026-06-01 11:14:49.278 [DEBUG] MIDI fader physical ch 1, logical ch 1: 92.8% raw 15204; touched=True
2026-06-01 11:14:49.283 [DEBUG] MIDI received: status E0, data1 28, data2 77, channel 1, command E0
